Year,Region,Sales_Volume
2011,North America,8143
2018,Europe,8340
2017,Africa,6324
2022,North America,7795
2021,Africa,9362
2019,North America,9080
2016,Middle East,1274
2018,Africa,2167
2013,Africa,6751
2022,North America,7762
2013,Africa,6440
2010,North America,992
2017,Africa,1329
2023,Africa,6006
2023,North America,3195
2021,South America,2119
2012,Asia,1342
2016,South America,1100
2024,Europe,6496
2021,Africa,844
2011,North America,6900
2011,North America,6145
2016,Africa,4284
2024,Middle East,5961
2015,Asia,1194
2012,Asia,4050
2018,Middle East,8038
2019,Middle East,2693
2024,Africa,2487
2023,South America,6549
2022,Asia,6372
2015,Middle East,9537
2019,Middle East,9192
2019,Asia,4646
2015,North America,5377
2010,North America,7502
2013,Africa,7598
2019,Africa,1268
2015,North America,4441
2024,Europe,8074
2015,Europe,3673
2020,Europe,5816
2021,Asia,7133
2014,Europe,4747
2010,North America,2341
2017,North America,4425
2014,Africa,3292
2021,Asia,556
2021,North America,3272
2021,Europe,348
2014,Middle East,9888
2016,Europe,2095
2013,Africa,7193
2015,Africa,8335
2022,Africa,8196
2013,Middle East,6734
2023,Europe,5943
2024,Europe,5997
2012,South America,5227
2016,South America,9443
2017,Asia,6010
2013,Middle East,9809
2022,Africa,8999
2011,South America,8538
2021,Europe,2659
2019,South America,5921
2023,Africa,4821
2012,Middle East,1733
2010,Middle East,7739
2017,North America,563
2024,North America,8838
2012,Africa,2434
2021,Europe,3739
2019,Middle East,1678
2016,North America,9521
2019,South America,2768
2014,Middle East,2399
2019,Middle East,9219
2014,South America,7868
2023,South America,5084
2016,Middle East,3727
2024,Africa,7491
2018,South America,9606
2021,Africa,6188
2014,Africa,3348
2010,Africa,184
2019,Asia,9954
2019,North America,3605
2010,Middle East,5457
2024,Europe,4711
2011,Middle East,3251
2023,North America,4886
2015,Africa,1241
2018,Africa,4847
2017,Europe,9762
2022,North America,2255
2014,Africa,1244
2010,Europe,8657
2022,Middle East,784
2016,North America,6570
2024,Asia,5644
2014,South America,4908
2015,Middle East,2717
2022,South America,4643
2016,North America,2447
2012,Middle East,2331
2021,Africa,9313
2019,Europe,8455
2012,Europe,3803
2014,Asia,3316
2015,South America,6560
2018,Africa,6984
2022,Europe,4877
2023,Asia,4570
2021,Asia,7365
2014,Europe,7699
2024,South America,1131
2010,Europe,923
2023,Africa,4533
2023,Africa,2999
2023,North America,7612
2013,Middle East,3344
2014,North America,1782
2021,Africa,8578
2019,South America,6928
2019,Africa,2607
2014,Asia,8051
2016,Middle East,8291
2013,Asia,2862
2010,South America,9996
2023,Middle East,8800
2023,Africa,1602
2014,Asia,7632
2016,South America,3124
2019,Africa,6335
2019,Middle East,7781
2015,South America,393
2014,Middle East,5749
2013,Asia,3656
2011,Africa,1840
2013,Asia,7603
2024,Europe,2680
2019,Africa,4751
2019,Asia,2723
2012,North America,3859
2019,Europe,7227
2010,Africa,1697
2017,North America,2964
2014,North America,7877
2022,Africa,8106
2013,South America,3481
2017,North America,9015
2016,Middle East,4747
2011,South America,2791
2010,Europe,8225
2021,South America,7674
2020,Middle East,9924
2013,Middle East,423
2017,North America,9589
2021,Europe,2087
2011,Asia,6870
2012,Middle East,2316
2021,Middle East,1474
2010,Africa,8248
2010,Asia,9535
2022,Africa,9770
2012,Europe,1689
2020,Africa,7217
2014,Europe,7143
2021,South America,1187
2012,Middle East,9092
2010,South America,6936
2010,Asia,9927
2017,Asia,4684
2019,Europe,7801
2020,Europe,9468
2021,Europe,5976
2022,South America,8168
2022,North America,7453
2021,South America,1110
2024,North America,9831
2023,North America,1755
2011,Middle East,8969
2022,Asia,1923
2012,Asia,3208
2011,North America,9651
2012,North America,3241
2016,Asia,4428
2010,Middle East,6025
2019,South America,2003
2017,South America,889
2022,North America,7928
2019,Africa,3640
2019,North America,7081
2019,South America,6458
2023,Europe,215
2011,Asia,371
2012,North America,8864
2018,South America,2768
2016,Asia,6803
2013,Europe,1887
2019,Europe,5359
2014,North America,6126
2011,Middle East,5606
2022,Africa,197
2020,Asia,4816
2022,North America,1830
2017,South America,2299
2013,Asia,6281
2018,Europe,6917
2014,South America,9260
2022,North America,9775
2018,North America,5477
2013,North America,2042
2019,Africa,1903
2014,Europe,6032
2018,South America,370
2017,Europe,4500
2012,South America,6923
2010,Asia,8350
2012,South America,4875
2013,South America,5441
2011,Middle East,5900
2010,Africa,5174
2016,South America,7310
2017,Europe,3345
2016,Africa,9478
2023,Middle East,8621
2014,Middle East,796
2021,Middle East,789
2010,North America,8764
2016,Africa,4619
2022,Africa,4363
2016,Europe,3585
2018,Middle East,8811
2012,South America,6824
2018,North America,1389
2023,Middle East,2827
2010,South America,7780
2010,North America,6364
2023,North America,3627
2013,Africa,1446
2018,Middle East,8466
2015,Europe,2231
2022,Africa,3003
2020,North America,2345
2012,Middle East,9037
2010,Europe,8257
2013,North America,4882
2021,Europe,8461
2022,Africa,9429
2018,North America,703
2012,Europe,5711
2021,Asia,5134
2018,Africa,3978
2016,Africa,4603
2021,North America,5177
2023,North America,2212
2024,Africa,3378
2013,Asia,3667
2012,South America,9739
2019,Africa,8241
2024,South America,3120
2014,Africa,4362
2014,Africa,874
2012,Europe,9361
2021,South America,592
2018,Asia,1871
2013,Asia,978
2020,South America,9264
2014,Europe,2823
2013,North America,6481
2014,Middle East,7490
2016,Africa,1074
2018,Asia,3018
2016,Middle East,8701
2022,North America,1258
2014,South America,7858
2019,Europe,6990
2019,Middle East,5083
2016,South America,9608
2023,South America,307
2024,North America,8811
2019,Middle East,9224
2014,South America,3804
2012,Africa,4594
2016,North America,2417
2022,Africa,3810
2020,Europe,8818
2020,South America,8614
2011,South America,7612
2024,South America,2088
2021,South America,2574
2018,South America,8719
2019,Asia,4477
2019,North America,9900
2021,Europe,1724
2010,Asia,5167
2022,Middle East,6842
2015,Middle East,5962
2016,North America,5841
2023,North America,8322
2022,Europe,7489
2017,North America,6662
2019,Africa,7766
2018,Europe,789
2011,North America,1068
2020,Middle East,9153
2019,Asia,1457
2011,North America,7163
2014,Middle East,6265
2022,Asia,3335
2014,Middle East,4290
2015,North America,9826
2012,South America,8639
2017,Europe,1619
2022,South America,6215
2010,Middle East,5894
2015,Europe,3300
2013,North America,5456
2010,Middle East,2200
2024,Africa,9319
2016,Middle East,228
2018,Middle East,6034
2022,Africa,7050
2013,South America,2595
2013,Europe,8836
2015,North America,4686
2021,North America,2957
2024,South America,5673
2012,Middle East,6713
2022,Asia,7965
2021,Africa,8717
2015,Middle East,5239
2016,North America,6821
2020,South America,7138
2019,Europe,5215
2019,Africa,6154
2012,North America,9303
2016,Middle East,224
2023,Europe,7060
2012,South America,6934
2022,North America,7146
2022,North America,8925
2011,Asia,2967
2021,South America,908
2023,Asia,6245
2019,Middle East,8092
2013,Middle East,6709
2021,South America,7063
2017,South America,5477
2022,Africa,1180
2024,Africa,1626
2018,South America,8121
2016,South America,5446
2010,Europe,7317
2012,South America,3012
2022,Asia,8197
2021,South America,9885
2023,South America,9573
2018,North America,5061
2024,Middle East,6481
2021,Europe,3118
2010,South America,6374
2018,Africa,2217
2017,Asia,6440
2010,Africa,4766
2015,South America,9316
2014,Africa,9160
2015,South America,8282
2019,North America,6161
2021,Europe,6858
2022,South America,7077
2022,Europe,3029
2022,North America,1206
2024,Middle East,8677
2014,Middle East,1878
2015,South America,3389
2014,South America,5106
2020,Middle East,9161
2021,Europe,4695
2014,Middle East,4287
2013,Middle East,6979
2012,Asia,7318
2012,Middle East,3265
2013,Middle East,1284
2018,Africa,5076
2011,Europe,4360
2024,North America,3638
2018,North America,171
2010,Europe,1526
2023,North America,1818
2024,Middle East,3712
2024,Asia,7710
2010,South America,7772
2014,Europe,8848
2015,Europe,395
2015,Europe,9951
2012,Middle East,364
2016,South America,2859
2018,Europe,398
2020,South America,3921
2021,South America,7792
2019,Asia,4434
2017,North America,6742
2015,Europe,1220
2021,Middle East,5724
2017,Europe,8963
2021,North America,2040
2014,South America,3768
2017,Asia,7702
2019,South America,1651
2021,North America,4883
2013,Africa,5523
2019,Africa,327
2017,Asia,3962
2019,Europe,3768
2021,Europe,8986
2011,North America,5499
2021,Middle East,1127
2021,Asia,5485
2014,Asia,2799
2018,Europe,9357
2013,Europe,8833
2020,Middle East,356
2015,North America,7926
2024,Africa,1288
2010,Africa,4578
2018,North America,8586
2010,North America,7885
2014,Asia,1738
2013,Middle East,2794
2022,Asia,450
2021,Europe,1636
2022,South America,1633
2022,Europe,5749
2023,Europe,2441
2012,Middle East,3245
2022,Europe,9807
2015,South America,4724
2011,Europe,6984
2012,Middle East,6713
2014,Africa,3054
2024,Europe,1171
2018,Europe,9984
2011,Asia,1535
2019,North America,6399
2017,Europe,2183
2023,North America,4347
2011,Asia,7342
2020,Africa,3842
2022,Europe,8924
2014,South America,7315
2016,Europe,2549
2017,Asia,835
2010,Asia,7263
2015,Europe,1903
2010,Middle East,6039
2011,South America,987
2024,Africa,3613
2010,Asia,8926
2020,South America,363
2014,Middle East,8961
2019,North America,2819
2024,Africa,8031
2018,Asia,8149
2015,Africa,8677
2020,South America,4269
2020,Africa,3621
2010,Middle East,8319
2022,Middle East,4590
2010,South America,2271
2011,Africa,9086
2018,Asia,4302
2012,Africa,2538
2024,Asia,2300
2010,North America,8052
2014,Asia,1693
2016,Europe,5431
2015,Middle East,503
2021,Europe,421
2010,South America,1701
2014,North America,9021
2024,Europe,9521
2014,Asia,1777
2015,Africa,3290
2012,Africa,5427
2014,North America,8413
2016,Africa,8134
2014,Europe,3997
2014,North America,4135
2014,Asia,1142
2019,Europe,4677
2019,Middle East,4498
2012,Africa,9961
2010,Middle East,8619
2014,North America,5774
2023,Middle East,9979
2018,Europe,4366
2023,Middle East,1523
2010,Asia,3422
2012,Asia,632
2022,Middle East,5230
2022,Africa,2110
2013,Asia,4229
2023,North America,4180
2010,North America,5342
2010,Middle East,1538
2017,North America,4752
2011,Europe,3775
2021,Asia,2031
2024,South America,934
2017,Middle East,6111
2016,North America,8208
2019,Europe,7357
2019,Middle East,9115
2011,Asia,7061
2015,Asia,3867
2015,Africa,9727
2012,Africa,4281
2020,South America,758
2011,Africa,3023
2021,North America,5680
2010,Asia,6105
2015,South America,138
2021,Europe,6238
2014,Europe,749
2023,Asia,3277
2023,Middle East,1106
2020,Asia,7612
2018,North America,6633
2010,Asia,281
2024,Asia,7494
2024,Asia,3599
2016,North America,6089
2024,Africa,1782
2014,South America,2565
2014,North America,2744
2023,Europe,8937
2011,Middle East,3104
2020,Middle East,6990
2012,North America,2892
2016,Europe,1162
2015,Africa,2031
2021,Middle East,9914
2011,Asia,4716
2015,Middle East,1033
2011,Asia,9309
2011,Middle East,9807
2011,Asia,9932
2023,Europe,537
2024,Middle East,2498
2020,Africa,2177
2012,Africa,3206
2024,North America,1918
2011,Asia,9627
2013,Asia,8246
2018,Europe,4287
2015,Asia,5864
2010,North America,9533
2017,Europe,8745
2024,South America,1796
2021,South America,1973
2023,Asia,4609
2016,Europe,177
2019,Africa,2968
2012,North America,1892
2010,Africa,9205
2014,Europe,335
2022,Africa,7370
2013,South America,588
2019,North America,4278
2017,North America,499
2010,Asia,3972
2019,Africa,5009
2010,South America,1983
2021,Europe,9193
2013,Asia,7267
2017,Middle East,9889
2014,Africa,6198
2011,Europe,9663
2015,North America,9959
2014,Africa,7967
2011,North America,971
2022,Middle East,4029
2023,Europe,3505
2020,South America,1393
2020,Europe,5167
2020,Middle East,5568
2012,North America,8957
2024,Europe,8537
2018,Middle East,3712
2016,North America,7619
2016,Middle East,4446
2024,Europe,9239
2020,Asia,3133
2015,Africa,7531
2017,Europe,6617
2013,Asia,4317
2017,Africa,5781
2013,North America,8817
2017,Asia,4375
2018,Europe,1374
2012,Middle East,208
2012,Europe,9968
2020,South America,963
2022,North America,4295
2011,Europe,9255
2022,Middle East,4719
2019,South America,8015
2012,Middle East,4819
2012,Middle East,6269
2014,Africa,9146
2014,Middle East,3044
2011,Middle East,8359
2021,Europe,1838
2019,North America,3715
2022,South America,3850
2015,Africa,7634
2014,Asia,5839
2015,Middle East,4441
2010,South America,2009
2014,Africa,8678
2018,Europe,7618
2021,South America,2299
2019,Europe,9933
2023,South America,4142
2011,Asia,5213
2010,South America,8551
2023,Africa,9006
2019,Europe,6480
2022,Africa,6078
2020,Middle East,6462
2018,Middle East,7889
2019,Europe,7679
2018,North America,618
2024,North America,2084
2018,Africa,4802
2015,Asia,4766
2024,Europe,6839
2017,Middle East,8478
2023,Asia,1993
2020,Middle East,9842
2024,Asia,7692
2022,Asia,775
2010,Europe,1317
2019,North America,8737
2013,Asia,817
2010,South America,978
2017,Africa,4401
2010,Europe,8415
2012,Africa,5429
2022,North America,6981
2013,Africa,4064
2024,Africa,5289
2024,Europe,2064
2024,North America,6582
2017,Asia,3597
2015,North America,7441
2023,Middle East,7480
2019,Africa,1320
2021,North America,6044
2016,Europe,9549
2023,Europe,8566
2017,Asia,6181
2011,North America,9742
2022,South America,257
2019,Europe,2140
2023,Asia,4379
2020,Africa,8549
2017,South America,3272
2012,Asia,6533
2016,South America,7812
2012,North America,2879
2024,Asia,9265
2016,South America,8858
2023,South America,3380
2020,Asia,6190
2024,Asia,3087
2021,South America,222
2022,Africa,6211
2011,Middle East,7030
2019,North America,9574
2015,Europe,1877
2012,Europe,3158
2012,Asia,8802
2024,South America,6320
2018,Europe,8744
2016,Europe,1583
2014,South America,762
2021,South America,3831
2019,South America,1777
2016,Asia,897
2018,Africa,6817
2010,Asia,4602
2016,Asia,883
2015,South America,7901
2019,North America,3232
2023,Europe,676
2021,South America,4354
2018,North America,2600
2010,Asia,5134
2022,Asia,9176
2013,Africa,1966
2018,Middle East,2847
2013,Asia,7185
2019,South America,3954
2012,Middle East,2456
2018,Asia,1167
2022,Europe,3387
2011,Africa,1762
2024,South America,9249
2013,Asia,7698
2024,North America,4352
2015,Middle East,1698
2011,North America,8916
2024,Middle East,7187
2017,Asia,1768
2017,Africa,2809
2010,Middle East,4317
2021,North America,9572
2012,Middle East,7497
2019,Europe,4931
2018,North America,1508
2014,North America,7517
2015,Asia,8625
2013,Middle East,9352
2019,Africa,7301
2011,Asia,3086
2020,Middle East,7583
2017,Europe,9880
2020,Middle East,1760
2022,South America,9360
2015,South America,1464
2014,Middle East,8317
2018,South America,7242
2010,Middle East,2719
2014,South America,8681
2015,Africa,7360
2014,Africa,1991
2015,North America,3446
2015,Middle East,5391
2016,Africa,1606
2013,North America,2378
2023,North America,3029
2020,North America,7794
2023,Africa,6747
2023,Europe,8760
2023,North America,8250
2024,Asia,1424
2017,Europe,7841
2016,South America,5598
2018,North America,7716
2016,Europe,4411
2012,South America,5620
2012,North America,2708
2024,Africa,5799
2017,Europe,6145
2014,Africa,5773
2013,Europe,6739
2017,South America,3193
2024,Middle East,2166
2015,South America,6757
2011,Africa,9632
2013,Europe,6424
2021,North America,8580
2020,Middle East,6997
2013,Africa,6833
2024,North America,1404
2015,North America,3443
2015,Middle East,9853
2010,Middle East,4167
2023,Middle East,1567
2017,Europe,8561
2015,Europe,6319
2012,Europe,7308
2023,South America,5464
2018,Middle East,6037
2011,Middle East,2145
2024,Africa,521
2020,Middle East,5175
2017,North America,5313
2019,Middle East,9345
2012,Asia,6096
2022,Asia,1975
2021,Asia,5439
2014,Middle East,5147
2015,South America,235
2019,Europe,8045
2015,North America,3164
2013,Asia,7271
2012,Asia,6689
2013,North America,9186
2010,North America,2706
2013,Europe,1355
2010,South America,6465
2021,Europe,6115
2024,Asia,3863
2010,Africa,2258
2019,Africa,3874
2023,Asia,9306
2015,Asia,2588
2014,North America,6309
2023,South America,5511
2020,North America,9545
2024,North America,437
2013,Asia,3451
2022,Middle East,4199
2020,Europe,6142
2012,Middle East,6193
2010,Asia,2668
2015,North America,1564
2011,Middle East,2918
2017,Asia,3083
2019,North America,2991
2014,North America,8642
2016,North America,4877
2019,Europe,721
2021,Europe,4788
2011,North America,4267
2022,Middle East,2951
2017,South America,777
2011,North America,9174
2013,Europe,9729
2010,South America,4771
2024,Asia,894
2014,Europe,3788
2018,North America,1786
2010,Europe,335
2018,South America,8572
2020,Asia,8148
2024,Middle East,6616
2017,Middle East,2425
2015,Europe,9696
2016,Asia,5451
2012,South America,8791
2023,Africa,2580
2024,Europe,9148
2010,North America,638
2014,Africa,879
2023,Middle East,6441
2021,Africa,2227
2021,South America,5723
2011,South America,5816
2023,North America,4547
2014,Asia,863
2017,South America,1341
2020,Asia,952
2018,Middle East,329
2011,Europe,1413
2021,North America,4597
2012,Asia,6062
2012,North America,3452
2010,North America,1488
2017,Africa,6807
2015,North America,4911
2021,South America,3788
2022,Asia,9081
2017,Europe,7571
2020,South America,5050
2018,Asia,6053
2014,Asia,6934
2023,Asia,6547
2021,Middle East,8592
2023,Middle East,162
2012,Europe,4815
2014,Asia,9256
2014,North America,4486
2014,Africa,6756
2012,Europe,4596
2020,North America,5113
2023,Europe,8293
2019,Africa,7460
2023,South America,1715
2013,Asia,4124
2018,Asia,9861
2022,Asia,1551
2019,Middle East,7634
2018,North America,3242
2011,Asia,6998
2017,South America,1750
2017,Asia,4910
2016,South America,8442
2017,Africa,655
2023,South America,2736
2012,South America,4785
2022,North America,3984
2015,Middle East,6355
2010,Africa,9701
2016,South America,8999
2024,North America,8994
2024,South America,8620
2010,South America,4548
2018,Europe,1894
2010,North America,6119
2010,Africa,7748
2024,North America,1901
2016,Europe,8863
2011,South America,4334
2023,South America,2098
2014,Middle East,2951
2017,Middle East,4213
2017,Asia,2303
2012,South America,6508
2016,North America,9301
2012,North America,696
2015,Europe,1204
2015,South America,4389
2012,North America,1878
2016,South America,980
2012,North America,6254
2017,Middle East,122
2019,Middle East,5047
2013,Africa,3539
2024,Europe,7478
2024,Europe,6759
2022,South America,4150
2010,Middle East,7225
2013,North America,5344
2023,Asia,9583
2016,Asia,8390
2020,Africa,4623
2013,Africa,5046
2022,South America,3601
2015,South America,5317
2018,Europe,6796
2010,North America,3555
2022,Asia,4036
2014,Asia,4163
2020,Middle East,7515
2016,Middle East,5262
2010,Africa,9765
2023,South America,2407
2013,Middle East,8821
2015,Middle East,3894
2011,Middle East,7963
