Model,Year,Sales_Volume
X1,2011,3813
i3,2011,6205
M5,2021,6688
i3,2015,1402
5 Series,2016,8273
M3,2014,7577
M3,2010,9098
M5,2010,4427
X5,2012,9311
3 Series,2023,3182
i3,2011,5797
X3,2014,577
i3,2021,3288
X3,2019,7041
i8,2015,5284
i8,2016,9454
5 Series,2013,6935
M3,2016,5058
3 Series,2020,7793
M3,2017,2353
X6,2020,4643
X1,2010,1252
i3,2024,1675
M5,2015,6177
M5,2017,4669
i3,2014,5178
M5,2013,8254
M3,2011,6712
i8,2015,2845
M3,2015,4997
3 Series,2020,7286
i3,2024,9124
X6,2010,5045
X6,2018,4709
i3,2021,1482
M5,2020,3134
X3,2015,6856
3 Series,2022,3730
M3,2012,8190
7 Series,2013,9067
3 Series,2021,5726
7 Series,2020,3284
i8,2013,7254
i3,2012,2377
M5,2019,1883
3 Series,2012,520
X1,2024,8913
i3,2012,2353
X3,2013,6169
M5,2016,113
X5,2013,2353
i3,2018,8132
X1,2010,1718
3 Series,2017,5481
X6,2016,7436
X5,2011,6327
i3,2017,5415
X5,2010,2737
X1,2020,4488
5 Series,2021,1849
X5,2018,6300
X1,2018,3108
M3,2011,2792
i3,2016,3901
i3,2024,897
i3,2023,3108
X6,2019,9003
3 Series,2012,9454
X6,2016,7064
5 Series,2021,4585
7 Series,2019,4515
i8,2018,9586
i8,2013,9597
i8,2021,9156
5 Series,2010,8440
3 Series,2011,2463
i8,2010,3398
X6,2023,8066
X5,2021,5829
X3,2014,6254
7 Series,2014,7608
X3,2020,2156
i8,2016,5098
X1,2018,5095
7 Series,2018,305
i8,2012,5960
3 Series,2012,3990
5 Series,2012,6844
M3,2013,2781
X5,2017,1386
3 Series,2015,7571
i3,2017,5863
X6,2010,7163
3 Series,2017,5037
5 Series,2013,8943
i8,2020,288
X1,2010,5184
X3,2017,8167
X6,2013,2195
X1,2015,3657
M5,2017,9121
i8,2013,4751
X1,2023,874
3 Series,2012,9890
7 Series,2023,7301
X5,2018,4242
M5,2012,3324
X5,2018,9284
i3,2022,5387
X6,2011,3309
7 Series,2023,7111
M3,2011,1625
M5,2011,489
i3,2015,7118
M5,2012,8924
X1,2022,642
i3,2018,4366
M5,2013,1404
X5,2010,8358
3 Series,2013,3816
X1,2010,9680
M3,2023,7109
X3,2014,6211
X6,2013,1866
X5,2017,143
X5,2017,5802
X3,2016,5924
X6,2012,9184
i3,2010,4936
5 Series,2010,2849
5 Series,2021,5903
i8,2020,4541
i3,2012,9131
7 Series,2015,3220
7 Series,2016,1909
X3,2015,6657
X6,2023,9966
X5,2023,2930
i8,2015,9525
X1,2015,8543
i8,2022,2452
X3,2012,6148
3 Series,2015,8981
X3,2017,241
3 Series,2020,5760
M3,2020,6726
X6,2011,8241
i8,2014,4321
X6,2023,6736
5 Series,2010,9841
M3,2021,904
M5,2024,4431
7 Series,2010,7521
5 Series,2014,4611
5 Series,2021,6866
3 Series,2022,8095
i3,2012,1818
i3,2013,1054
3 Series,2012,3307
M3,2010,6000
X5,2010,7103
M5,2021,1942
5 Series,2021,2018
5 Series,2023,5122
X1,2022,2118
M3,2023,9240
i3,2014,8800
i8,2015,3942
M3,2012,6344
M3,2021,634
5 Series,2018,398
X6,2014,7978
X3,2017,6565
X3,2022,9374
i8,2010,2613
7 Series,2023,5453
3 Series,2014,867
i8,2024,6665
X6,2012,101
i8,2021,4938
X1,2010,5754
5 Series,2013,1560
M5,2024,4545
i8,2022,5532
M5,2014,6074
3 Series,2016,9417
7 Series,2010,3588
X3,2012,1251
X1,2011,9105
X5,2018,7876
X1,2019,7317
X6,2024,1983
M5,2015,5817
5 Series,2019,7231
M5,2012,222
i3,2017,7313
i3,2023,1786
7 Series,2017,8514
X6,2011,9968
X5,2024,8047
i8,2015,5839
X3,2016,1339
X3,2011,9462
X3,2024,7270
i8,2020,2879
3 Series,2019,2165
X6,2011,4455
X5,2019,2035
i3,2010,7510
3 Series,2017,9025
X1,2010,5113
X5,2018,7616
3 Series,2020,6688
3 Series,2015,9390
5 Series,2016,3539
7 Series,2022,7315
X3,2019,9879
X6,2016,8533
M3,2019,335
i8,2012,993
i8,2011,8143
7 Series,2018,8340
M3,2017,6324
7 Series,2022,7795
7 Series,2021,9362
i8,2019,9080
7 Series,2016,1274
7 Series,2018,2167
X3,2013,6751
7 Series,2022,7762
M5,2013,6440
7 Series,2010,992
X6,2017,1329
i8,2023,6006
X5,2023,3195
3 Series,2021,2119
i3,2012,1342
X3,2016,1100
X6,2024,6496
X6,2021,844
M3,2011,6900
X6,2011,6145
X5,2016,4284
X5,2024,5961
X1,2015,1194
i3,2012,4050
X5,2018,8038
X5,2019,2693
X5,2024,2487
M5,2023,6549
3 Series,2022,6372
i8,2015,9537
i3,2019,9192
X5,2019,4646
3 Series,2015,5377
X3,2010,7502
M5,2013,7598
5 Series,2019,1268
X1,2015,4441
5 Series,2024,8074
3 Series,2015,3673
i8,2020,5816
X6,2021,7133
X3,2014,4747
X5,2010,2341
X6,2017,4425
5 Series,2014,3292
X6,2021,556
M5,2021,3272
X3,2021,348
X5,2014,9888
i3,2016,2095
X1,2013,7193
M3,2015,8335
3 Series,2022,8196
i8,2013,6734
M5,2023,5943
X5,2024,5997
3 Series,2012,5227
M3,2016,9443
X3,2017,6010
7 Series,2013,9809
7 Series,2022,8999
X1,2011,8538
7 Series,2021,2659
3 Series,2019,5921
7 Series,2023,4821
X3,2012,1733
X6,2010,7739
i8,2017,563
i3,2024,8838
5 Series,2012,2434
X6,2021,3739
X6,2019,1678
i3,2016,9521
X6,2019,2768
X1,2014,2399
5 Series,2019,9219
i3,2014,7868
M5,2023,5084
i8,2016,3727
3 Series,2024,7491
X3,2018,9606
M3,2021,6188
3 Series,2014,3348
5 Series,2010,184
X3,2019,9954
X5,2019,3605
X3,2010,5457
X3,2024,4711
i3,2011,3251
7 Series,2023,4886
7 Series,2015,1241
X3,2018,4847
3 Series,2017,9762
X1,2022,2255
X3,2014,1244
X1,2010,8657
M5,2022,784
M3,2016,6570
7 Series,2024,5644
7 Series,2014,4908
i8,2015,2717
i3,2022,4643
M5,2016,2447
X3,2012,2331
X6,2021,9313
i8,2019,8455
5 Series,2012,3803
i3,2014,3316
M5,2015,6560
3 Series,2018,6984
X3,2022,4877
3 Series,2023,4570
M5,2021,7365
X5,2014,7699
X1,2024,1131
i8,2010,923
X1,2023,4533
M3,2023,2999
X3,2023,7612
X1,2013,3344
5 Series,2014,1782
M3,2021,8578
i3,2019,6928
5 Series,2019,2607
X5,2014,8051
X6,2016,8291
i8,2013,2862
M3,2010,9996
M5,2023,8800
X5,2023,1602
M3,2014,7632
X6,2016,3124
X1,2019,6335
3 Series,2019,7781
i3,2015,393
M3,2014,5749
i8,2013,3656
M3,2011,1840
i3,2013,7603
5 Series,2024,2680
X1,2019,4751
5 Series,2019,2723
M5,2012,3859
M5,2019,7227
M3,2010,1697
X3,2017,2964
X5,2014,7877
i3,2022,8106
X5,2013,3481
7 Series,2017,9015
X6,2016,4747
M3,2011,2791
i3,2010,8225
X5,2021,7674
X6,2020,9924
X1,2013,423
X1,2017,9589
i8,2021,2087
i8,2011,6870
i3,2012,2316
5 Series,2021,1474
3 Series,2010,8248
i8,2010,9535
7 Series,2022,9770
X6,2012,1689
i8,2020,7217
M5,2014,7143
3 Series,2021,1187
X5,2012,9092
X6,2010,6936
X5,2010,9927
i3,2017,4684
X3,2019,7801
M5,2020,9468
X6,2021,5976
M5,2022,8168
X6,2022,7453
X6,2021,1110
7 Series,2024,9831
i3,2023,1755
i3,2011,8969
i8,2022,1923
5 Series,2012,3208
i3,2011,9651
X5,2012,3241
X3,2016,4428
X1,2010,6025
X3,2019,2003
3 Series,2017,889
5 Series,2022,7928
X3,2019,3640
X1,2019,7081
i8,2019,6458
M3,2023,215
X6,2011,371
5 Series,2012,8864
X5,2018,2768
5 Series,2016,6803
7 Series,2013,1887
M5,2019,5359
7 Series,2014,6126
M5,2011,5606
M5,2022,197
i3,2020,4816
i3,2022,1830
5 Series,2017,2299
i8,2013,6281
X6,2018,6917
M3,2014,9260
7 Series,2022,9775
X5,2018,5477
7 Series,2013,2042
X3,2019,1903
M3,2014,6032
5 Series,2018,370
7 Series,2017,4500
X3,2012,6923
X1,2010,8350
5 Series,2012,4875
X6,2013,5441
i3,2011,5900
X1,2010,5174
7 Series,2016,7310
i8,2017,3345
5 Series,2016,9478
7 Series,2023,8621
M5,2014,796
7 Series,2021,789
M3,2010,8764
X5,2016,4619
X6,2022,4363
X5,2016,3585
M3,2018,8811
i3,2012,6824
X3,2018,1389
3 Series,2023,2827
M3,2010,7780
3 Series,2010,6364
M3,2023,3627
X1,2013,1446
7 Series,2018,8466
3 Series,2015,2231
7 Series,2022,3003
3 Series,2020,2345
X3,2012,9037
5 Series,2010,8257
X3,2013,4882
X3,2021,8461
i3,2022,9429
3 Series,2018,703
X6,2012,5711
7 Series,2021,5134
X1,2018,3978
M5,2016,4603
i3,2021,5177
X6,2023,2212
X3,2024,3378
X6,2013,3667
M3,2012,9739
3 Series,2019,8241
X5,2024,3120
7 Series,2014,4362
i3,2014,874
X1,2012,9361
7 Series,2021,592
M5,2018,1871
X6,2013,978
3 Series,2020,9264
X5,2014,2823
i3,2013,6481
7 Series,2014,7490
M3,2016,1074
5 Series,2018,3018
X1,2016,8701
5 Series,2022,1258
3 Series,2014,7858
X5,2019,6990
X5,2019,5083
M3,2016,9608
3 Series,2023,307
7 Series,2024,8811
M5,2019,9224
i3,2014,3804
X3,2012,4594
M3,2016,2417
5 Series,2022,3810
X6,2020,8818
M5,2020,8614
5 Series,2011,7612
5 Series,2024,2088
7 Series,2021,2574
5 Series,2018,8719
7 Series,2019,4477
M3,2019,9900
M3,2021,1724
7 Series,2010,5167
7 Series,2022,6842
7 Series,2015,5962
X3,2016,5841
7 Series,2023,8322
5 Series,2022,7489
X3,2017,6662
3 Series,2019,7766
7 Series,2018,789
i8,2011,1068
X3,2020,9153
M3,2019,1457
5 Series,2011,7163
X5,2014,6265
X5,2022,3335
5 Series,2014,4290
7 Series,2015,9826
3 Series,2012,8639
i3,2017,1619
i3,2022,6215
X1,2010,5894
X1,2015,3300
X1,2013,5456
7 Series,2010,2200
5 Series,2024,9319
3 Series,2016,228
X5,2018,6034
X5,2022,7050
X6,2013,2595
5 Series,2013,8836
X5,2015,4686
X5,2021,2957
i3,2024,5673
X3,2012,6713
7 Series,2022,7965
X1,2021,8717
X1,2015,5239
X3,2016,6821
X1,2020,7138
i8,2019,5215
X5,2019,6154
3 Series,2012,9303
X3,2016,224
i8,2023,7060
X1,2012,6934
M5,2022,7146
i3,2022,8925
i8,2011,2967
i3,2021,908
3 Series,2023,6245
M5,2019,8092
i8,2013,6709
X1,2021,7063
X1,2017,5477
X3,2022,1180
X6,2024,1626
3 Series,2018,8121
7 Series,2016,5446
i8,2010,7317
7 Series,2012,3012
X6,2022,8197
X6,2021,9885
M3,2023,9573
X6,2018,5061
3 Series,2024,6481
i3,2021,3118
M3,2010,6374
X5,2018,2217
M3,2017,6440
M5,2010,4766
i3,2015,9316
i8,2014,9160
7 Series,2015,8282
i8,2019,6161
7 Series,2021,6858
X1,2022,7077
5 Series,2022,3029
5 Series,2022,1206
i8,2024,8677
5 Series,2014,1878
X1,2015,3389
i8,2014,5106
X6,2020,9161
3 Series,2021,4695
7 Series,2014,4287
M3,2013,6979
M3,2012,7318
7 Series,2012,3265
X1,2013,1284
7 Series,2018,5076
3 Series,2011,4360
i8,2024,3638
X1,2018,171
X1,2010,1526
X1,2023,1818
i8,2024,3712
X3,2024,7710
X1,2010,7772
3 Series,2014,8848
X1,2015,395
M5,2015,9951
i8,2012,364
M5,2016,2859
3 Series,2018,398
7 Series,2020,3921
i8,2021,7792
i8,2019,4434
i8,2017,6742
5 Series,2015,1220
M5,2021,5724
X6,2017,8963
M3,2021,2040
i8,2014,3768
X5,2017,7702
3 Series,2019,1651
X1,2021,4883
X6,2013,5523
X6,2019,327
X1,2017,3962
i3,2019,3768
7 Series,2021,8986
X3,2011,5499
i3,2021,1127
X1,2021,5485
i8,2014,2799
M3,2018,9357
X1,2013,8833
M5,2020,356
i3,2015,7926
7 Series,2024,1288
M5,2010,4578
M3,2018,8586
3 Series,2010,7885
M3,2014,1738
7 Series,2013,2794
X1,2022,450
X5,2021,1636
i3,2022,1633
5 Series,2022,5749
X6,2023,2441
i3,2012,3245
5 Series,2022,9807
X1,2015,4724
X3,2011,6984
i8,2012,6713
X1,2014,3054
X3,2024,1171
M5,2018,9984
7 Series,2011,1535
5 Series,2019,6399
5 Series,2017,2183
3 Series,2023,4347
7 Series,2011,7342
M3,2020,3842
M3,2022,8924
X3,2014,7315
3 Series,2016,2549
3 Series,2017,835
5 Series,2010,7263
5 Series,2015,1903
3 Series,2010,6039
X3,2011,987
X6,2024,3613
M3,2010,8926
i8,2020,363
X3,2014,8961
X5,2019,2819
3 Series,2024,8031
X5,2018,8149
X6,2015,8677
X5,2020,4269
X1,2020,3621
i3,2010,8319
X6,2022,4590
5 Series,2010,2271
i8,2011,9086
i3,2018,4302
3 Series,2012,2538
X5,2024,2300
5 Series,2010,8052
X3,2014,1693
3 Series,2016,5431
3 Series,2015,503
3 Series,2021,421
X5,2010,1701
3 Series,2014,9021
X3,2024,9521
X6,2014,1777
X5,2015,3290
X5,2012,5427
X3,2014,8413
i8,2016,8134
X1,2014,3997
i8,2014,4135
7 Series,2014,1142
3 Series,2019,4677
X5,2019,4498
5 Series,2012,9961
M5,2010,8619
M5,2014,5774
3 Series,2023,9979
X5,2018,4366
X1,2023,1523
M5,2010,3422
X5,2012,632
X3,2022,5230
M3,2022,2110
X6,2013,4229
5 Series,2023,4180
5 Series,2010,5342
M3,2010,1538
5 Series,2017,4752
X3,2011,3775
i3,2021,2031
X6,2024,934
X3,2017,6111
5 Series,2016,8208
3 Series,2019,7357
i3,2019,9115
M5,2011,7061
M5,2015,3867
X3,2015,9727
X1,2012,4281
X6,2020,758
X5,2011,3023
i3,2021,5680
M5,2010,6105
i8,2015,138
X6,2021,6238
5 Series,2014,749
M5,2023,3277
5 Series,2023,1106
M3,2020,7612
5 Series,2018,6633
X1,2010,281
5 Series,2024,7494
X5,2024,3599
X3,2016,6089
7 Series,2024,1782
7 Series,2014,2565
X3,2014,2744
X5,2023,8937
i8,2011,3104
3 Series,2020,6990
X1,2012,2892
M3,2016,1162
5 Series,2015,2031
X6,2021,9914
5 Series,2011,4716
i3,2015,1033
5 Series,2011,9309
X1,2011,9807
5 Series,2011,9932
M5,2023,537
X3,2024,2498
X3,2020,2177
3 Series,2012,3206
7 Series,2024,1918
X5,2011,9627
3 Series,2013,8246
X1,2018,4287
i8,2015,5864
M5,2010,9533
3 Series,2017,8745
M5,2024,1796
X5,2021,1973
3 Series,2023,4609
M3,2016,177
M5,2019,2968
5 Series,2012,1892
X5,2010,9205
M5,2014,335
X3,2022,7370
X3,2013,588
X1,2019,4278
7 Series,2017,499
X6,2010,3972
X5,2019,5009
i8,2010,1983
7 Series,2021,9193
i8,2013,7267
X5,2017,9889
X1,2014,6198
7 Series,2011,9663
5 Series,2015,9959
X1,2014,7967
i3,2011,971
X5,2022,4029
i8,2023,3505
i3,2020,1393
5 Series,2020,5167
5 Series,2020,5568
M3,2012,8957
i3,2024,8537
X6,2018,3712
X5,2016,7619
M3,2016,4446
M3,2024,9239
X3,2020,3133
5 Series,2015,7531
X1,2017,6617
3 Series,2013,4317
3 Series,2017,5781
X3,2013,8817
M5,2017,4375
i3,2018,1374
X5,2012,208
7 Series,2012,9968
3 Series,2020,963
7 Series,2022,4295
i3,2011,9255
3 Series,2022,4719
i3,2019,8015
M5,2012,4819
5 Series,2012,6269
X3,2014,9146
X6,2014,3044
X6,2011,8359
3 Series,2021,1838
X3,2019,3715
X3,2022,3850
7 Series,2015,7634
5 Series,2014,5839
X1,2015,4441
7 Series,2010,2009
M3,2014,8678
5 Series,2018,7618
3 Series,2021,2299
X1,2019,9933
X1,2023,4142
M5,2011,5213
M5,2010,8551
7 Series,2023,9006
M5,2019,6480
7 Series,2022,6078
i8,2020,6462
3 Series,2018,7889
M3,2019,7679
M3,2018,618
i3,2024,2084
M5,2018,4802
M5,2015,4766
X6,2024,6839
i8,2017,8478
M3,2023,1993
X1,2020,9842
5 Series,2024,7692
M3,2022,775
M5,2010,1317
5 Series,2019,8737
i3,2013,817
X3,2010,978
X3,2017,4401
5 Series,2010,8415
X6,2012,5429
M3,2022,6981
i8,2013,4064
7 Series,2024,5289
M5,2024,2064
X6,2024,6582
M5,2017,3597
3 Series,2015,7441
X5,2023,7480
M3,2019,1320
M5,2021,6044
i3,2016,9549
X6,2023,8566
i3,2017,6181
5 Series,2011,9742
7 Series,2022,257
X5,2019,2140
X5,2023,4379
5 Series,2020,8549
3 Series,2017,3272
X1,2012,6533
3 Series,2016,7812
X3,2012,2879
M5,2024,9265
X6,2016,8858
3 Series,2023,3380
i3,2020,6190
M5,2024,3087
X3,2021,222
M5,2022,6211
3 Series,2011,7030
X1,2019,9574
M3,2015,1877
X1,2012,3158
5 Series,2012,8802
X1,2024,6320
7 Series,2018,8744
M3,2016,1583
X3,2014,762
X5,2021,3831
X5,2019,1777
X5,2016,897
7 Series,2018,6817
M3,2010,4602
i8,2016,883
M3,2015,7901
7 Series,2019,3232
i3,2023,676
M5,2021,4354
5 Series,2018,2600
7 Series,2010,5134
i3,2022,9176
i3,2013,1966
X1,2018,2847
M5,2013,7185
X5,2019,3954
3 Series,2012,2456
i8,2018,1167
3 Series,2022,3387
X3,2011,1762
7 Series,2024,9249
3 Series,2013,7698
i8,2024,4352
X3,2015,1698
X1,2011,8916
X6,2024,7187
3 Series,2017,1768
i8,2017,2809
X3,2010,4317
i3,2021,9572
i8,2012,7497
M5,2019,4931
X5,2018,1508
i8,2014,7517
3 Series,2015,8625
M5,2013,9352
X6,2019,7301
X5,2011,3086
X5,2020,7583
3 Series,2017,9880
M5,2020,1760
X5,2022,9360
i8,2015,1464
i3,2014,8317
M3,2018,7242
i3,2010,2719
M5,2014,8681
X5,2015,7360
X5,2014,1991
5 Series,2015,3446
7 Series,2015,5391
i8,2016,1606
3 Series,2013,2378
X3,2023,3029
M5,2020,7794
X1,2023,6747
7 Series,2023,8760
X1,2023,8250
M5,2024,1424
7 Series,2017,7841
X5,2016,5598
7 Series,2018,7716
M3,2016,4411
5 Series,2012,5620
3 Series,2012,2708
X3,2024,5799
X1,2017,6145
7 Series,2014,5773
5 Series,2013,6739
7 Series,2017,3193
7 Series,2024,2166
3 Series,2015,6757
M3,2011,9632
M3,2013,6424
5 Series,2021,8580
X6,2020,6997
3 Series,2013,6833
X1,2024,1404
X1,2015,3443
i8,2015,9853
3 Series,2010,4167
X1,2023,1567
5 Series,2017,8561
X6,2015,6319
M5,2012,7308
X5,2023,5464
M3,2018,6037
7 Series,2011,2145
X5,2024,521
X6,2020,5175
X3,2017,5313
X5,2019,9345
i3,2012,6096
M5,2022,1975
7 Series,2021,5439
7 Series,2014,5147
3 Series,2015,235
7 Series,2019,8045
7 Series,2015,3164
i3,2013,7271
i3,2012,6689
X1,2013,9186
X1,2010,2706
X1,2013,1355
X1,2010,6465
X6,2021,6115
i3,2024,3863
5 Series,2010,2258
5 Series,2019,3874
X6,2023,9306
X3,2015,2588
X1,2014,6309
M5,2023,5511
5 Series,2020,9545
i8,2024,437
i3,2013,3451
X5,2022,4199
5 Series,2020,6142
X5,2012,6193
M3,2010,2668
X3,2015,1564
M5,2011,2918
M3,2017,3083
3 Series,2019,2991
X5,2014,8642
M5,2016,4877
X1,2019,721
X6,2021,4788
M3,2011,4267
5 Series,2022,2951
X3,2017,777
X6,2011,9174
X6,2013,9729
5 Series,2010,4771
5 Series,2024,894
M5,2014,3788
M3,2018,1786
M5,2010,335
i3,2018,8572
5 Series,2020,8148
X5,2024,6616
i3,2017,2425
5 Series,2015,9696
5 Series,2016,5451
i8,2012,8791
7 Series,2023,2580
X3,2024,9148
M5,2010,638
X1,2014,879
X3,2023,6441
3 Series,2021,2227
M5,2021,5723
3 Series,2011,5816
7 Series,2023,4547
7 Series,2014,863
M5,2017,1341
X3,2020,952
X6,2018,329
M3,2011,1413
3 Series,2021,4597
i3,2012,6062
i8,2012,3452
i3,2010,1488
5 Series,2017,6807
X3,2015,4911
X1,2021,3788
3 Series,2022,9081
7 Series,2017,7571
X1,2020,5050
i8,2018,6053
X3,2014,6934
X3,2023,6547
3 Series,2021,8592
M3,2023,162
i3,2012,4815
M3,2014,9256
M3,2014,4486
M3,2014,6756
M3,2012,4596
M5,2020,5113
X6,2023,8293
M3,2019,7460
M5,2023,1715
i3,2013,4124
i3,2018,9861
X1,2022,1551
M3,2019,7634
i3,2018,3242
X5,2011,6998
3 Series,2017,1750
3 Series,2017,4910
3 Series,2016,8442
X3,2017,655
M3,2023,2736
X1,2012,4785
M5,2022,3984
7 Series,2015,6355
X1,2010,9701
X3,2016,8999
5 Series,2024,8994
X3,2024,8620
5 Series,2010,4548
M3,2018,1894
X5,2010,6119
X3,2010,7748
5 Series,2024,1901
i8,2016,8863
i8,2011,4334
5 Series,2023,2098
7 Series,2014,2951
i3,2017,4213
3 Series,2017,2303
X5,2012,6508
i8,2016,9301
5 Series,2012,696
X5,2015,1204
M3,2015,4389
3 Series,2012,1878
i8,2016,980
i8,2012,6254
5 Series,2017,122
M5,2019,5047
X1,2013,3539
i8,2024,7478
X3,2024,6759
M5,2022,4150
M3,2010,7225
5 Series,2013,5344
M3,2023,9583
3 Series,2016,8390
3 Series,2020,4623
i3,2013,5046
5 Series,2022,3601
i3,2015,5317
X3,2018,6796
i8,2010,3555
M5,2022,4036
X3,2014,4163
M3,2020,7515
M5,2016,5262
i3,2010,9765
5 Series,2023,2407
M3,2013,8821
X6,2015,3894
X3,2011,7963
3 Series,2019,9861
3 Series,2014,7630
X6,2020,576
X3,2019,3453
M5,2010,5478
7 Series,2015,9656
5 Series,2015,4232
X1,2022,2842
5 Series,2024,5511
M3,2024,9243
i8,2013,3749
M3,2022,8854
3 Series,2017,3302
M3,2013,6422
X3,2017,2547
i3,2024,1796
X6,2022,8908
7 Series,2017,7496
5 Series,2014,8511
M3,2022,9632
M3,2024,6205
i8,2013,4795
7 Series,2021,1179
M3,2022,3267
5 Series,2011,7058
M3,2020,8054
M3,2024,7502
7 Series,2012,7461
i3,2012,1416
M3,2013,7005
i3,2013,3569
i8,2019,5612
X1,2020,2550
3 Series,2020,4021
